BatchID,BatchStartTime,BatchEndTime,ProductId,ProductName,PhaseName,StepName,StepTime,TargetTime,TargetTolerance,StepStatus,StepStartTime,StepEndTime
1505311611,5/31/2015 21:11,6/1/2015 14:04,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/1/2015 6:35,6/1/2015 10:11
1506010904,6/1/2015 14:05,6/2/2015 6:31,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,-1,-1,NA,6/1/2015 23:04,6/2/2015 2:40
1506020132,6/2/2015 6:32,6/2/2015 22:51,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,-1,-1,NA,6/2/2015 15:25,6/2/2015 19:01
1506021752,6/2/2015 22:52,6/3/2015 15:12,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,-1,-1,NA,6/3/2015 7:45,6/3/2015 11:21
1506071052,6/7/2015 15:52,6/8/2015 8:32,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,-1,-1,NA,6/8/2015 1:05,6/8/2015 4:41
1506080333,6/8/2015 8:33,6/9/2015 0:56,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/8/2015 17:28,6/8/2015 21:05
1506081957,6/9/2015 0:58,6/9/2015 17:22,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/9/2015 9:52,6/9/2015 13:28
1506091224,6/9/2015 17:22,6/10/2015 9:45,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/10/2015 2:16,6/10/2015 5:53
1506100446,6/10/2015 9:45,6/11/2015 5:58,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,-1,-1,NA,6/10/2015 22:26,6/11/2015 2:02
1506110059,6/11/2015 5:59,6/11/2015 22:18,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,-1,-1,NA,6/11/2015 14:52,6/11/2015 18:27
1506182059,6/19/2015 2:01,6/19/2015 18:26,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/19/2015 11:01,6/19/2015 14:37
1506191327,6/19/2015 18:38,6/20/2015 10:51,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/20/2015 3:26,6/20/2015 7:02
1506200552,6/20/2015 11:04,6/21/2015 3:46,24240,VORANOL 4240 POLYOL,Reaction[2],1Digest[1],215,-1,-1,NA,6/20/2015 20:18,6/20/2015 23:54
1506202247,6/21/2015 3:59,6/21/2015 20:14,24240,VORANOL 4240 POLYOL,Reaction[2],1Digest[1],215,-1,-1,NA,6/21/2015 12:46,6/21/2015 16:22
1506211515,6/21/2015 20:16,6/22/2015 12:43,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/22/2015 5:15,6/22/2015 8:51
1506220744,6/22/2015 12:54,6/23/2015 5:08,24240,VORANOL 4240 POLYOL,Reaction[2],1Digest[1],215,-1,-1,NA,6/22/2015 21:39,6/23/2015 1:15
1506230009,6/23/2015 5:19,6/23/2015 21:32,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/23/2015 14:06,6/23/2015 17:42
1506231633,6/23/2015 21:34,6/24/2015 13:56,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/24/2015 6:28,6/24/2015 10:04
1506240857,6/24/2015 13:58,6/25/2015 6:18,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/24/2015 22:51,6/25/2015 2:27
1506250119,6/25/2015 6:29,6/25/2015 22:42,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,6/25/2015 15:14,6/25/2015 18:50
1507032122,7/4/2015 2:58,7/4/2015 19:24,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,7/4/2015 11:57,7/4/2015 15:33
1507041425,7/4/2015 19:36,7/5/2015 11:50,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,7/5/2015 4:23,7/5/2015 7:59
1507050651,7/5/2015 11:52,7/6/2015 4:13,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,7/5/2015 20:46,7/6/2015 0:22
1507052314,7/6/2015 4:24,7/6/2015 21:15,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,7/6/2015 13:49,7/6/2015 17:25
1507061616,7/6/2015 21:27,7/7/2015 13:53,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,7/7/2015 6:25,7/7/2015 10:01
1507070854,7/7/2015 13:55,7/8/2015 6:29,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,-1,-1,NA,7/7/2015 23:03,7/8/2015 2:39
1507170947,7/17/2015 15:06,7/18/2015 8:31,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],214,216,5,OK,7/18/2015 0:18,7/18/2015 3:53
1507180332,7/18/2015 8:43,7/19/2015 3:03,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,216,5,OK,7/18/2015 19:34,7/18/2015 23:09
1507182204,7/19/2015 3:13,7/19/2015 20:21,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],215,216,5,OK,7/19/2015 12:51,7/19/2015 16:26
1507191522,7/19/2015 20:23,7/20/2015 13:02,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,216,5,OK,7/20/2015 5:33,7/20/2015 9:09
1507200803,7/20/2015 13:59,7/21/2015 7:11,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,216,5,OK,7/20/2015 23:43,7/21/2015 3:19
1507210212,7/21/2015 7:22,7/22/2015 0:18,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],214,216,5,OK,7/21/2015 16:48,7/21/2015 20:23
1507211919,7/22/2015 0:20,7/22/2015 17:00,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],216,216,5,OK,7/22/2015 9:34,7/22/2015 13:10
1507272011,7/28/2015 22:07,7/29/2015 14:44,24240,VORANOL 4240 POLYOL,Reaction[1],1Digest[1],214,216,5,OK,7/29/2015 7:16,7/29/2015 10:51
