Datetime,TagValue,TagName,batchId,chartArea,AxisLoc
10/11/2015 23:29,4240,TX_KR22_matid,1510112113,,
10/11/2015 23:29,1.21895,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/11/2015 23:30,28.5775,TX_KR22_Pres,1510112113,Pressure,yLeft
10/11/2015 23:30,100.989,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/11/2015 23:39,4240,TX_KR22_matid,1510112113,,
10/11/2015 23:39,1.60035,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/11/2015 23:39,28.5775,TX_KR22_Pres,1510112113,Pressure,yLeft
10/11/2015 23:39,100.837,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/11/2015 23:49,4240,TX_KR22_matid,1510112113,,
10/11/2015 23:49,2.02447,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/11/2015 23:49,29.0353,TX_KR22_Pres,1510112113,Pressure,yLeft
10/11/2015 23:49,100.684,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/11/2015 23:59,4240,TX_KR22_matid,1510112113,,
10/11/2015 23:59,2.40587,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/11/2015 23:59,29.4992,TX_KR22_Pres,1510112113,Pressure,yLeft
10/11/2015 23:59,100.531,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 0:06,30.0394,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:07,31.7087,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:09,4240,TX_KR22_matid,1510112113,,
10/12/2015 0:09,2.7888,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 0:09,100.201,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 0:16,31.7087,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:17,33.6924,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:19,4240,TX_KR22_matid,1510112113,,
10/12/2015 0:19,3.27699,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 0:19,100.531,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 0:26,33.6924,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:27,34.8796,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:29,4240,TX_KR22_matid,1510112113,,
10/12/2015 0:29,4.21523,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 0:29,100.495,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 0:37,35.847,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:39,4240,TX_KR22_matid,1510112113,,
10/12/2015 0:39,4.67444,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 0:39,100.604,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 0:47,36.5886,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:49,4240,TX_KR22_matid,1510112113,,
10/12/2015 0:49,5.12296,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 0:49,100.647,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 0:57,37.2478,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 0:58,4240,TX_KR22_matid,1510112113,,
10/12/2015 0:58,5.61268,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 0:58,100.659,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 1:07,37.7483,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 1:08,4240,TX_KR22_matid,1510112113,,
10/12/2015 1:08,6.07189,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 1:08,100.562,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 1:17,38.4228,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 1:18,4240,TX_KR22_matid,1510112113,,
10/12/2015 1:18,6.56923,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 1:18,100.666,TX_KR22_Tempout,1510112113,Temperature,yLeft
10/12/2015 1:27,4240,TX_KR22_matid,1510112113,,
10/12/2015 1:27,7.01928,TX_KR22_Po_Tot,1510112113,POAmount,yLeft
10/12/2015 1:27,38.8562,TX_KR22_Pres,1510112113,Pressure,yLeft
10/12/2015 1:27,100.641,TX_KR22_Tempout,1510112113,Temperature,yLeft
